ID,DIA,MES,ANIO,ESTADO,COMUNIDAD,SITIO,LATITUD,LONGITUD,HABITAT,ZONA,PROTECCION,ANP,MONITOR,HORA_INICIAL,HORA_FINAL,PROFUNDIDAD_INICIAL,PROFUNDIDAD_FINAL,TEMPERATURA,VISIBILIDAD,CORRIENTE,TRANSECTO,GENERO,ESPECIE,ABUNDANCIA
12 9 2023 Babencho 2,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.11312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,13:24,13:33,10,12,22,5,NA,2,Muricea,Muricea spp,16
12 9 2023 Babencho 3,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11642,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,10:52,11:01,13,13,22,7,NA,3,Haliotis,Haliotis corrugata,9
12 9 2023 Babencho 3,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11642,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,10:52,11:01,13,13,22,7,NA,3,Panulirus,Panulirus interruptus,3
12 9 2023 Babencho 3,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11642,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,10:52,11:01,13,13,22,7,NA,3,Megastraea,Megastraea undosa,34
12 9 2023 Babencho 3,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11642,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,10:52,11:01,13,13,22,7,NA,3,Megastraea,Megastraea turbanica,5
12 9 2023 Babencho 3,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11642,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,10:52,11:01,13,13,22,7,NA,3,Megathura,Megathura crenulata,16
12 9 2023 Babencho 3,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11642,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,10:52,11:01,13,13,22,7,NA,3,Crassadoma,Crassadoma gigantea,2
12 9 2023 Babencho 3,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11642,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,10:52,11:01,13,13,22,7,NA,3,Muricea,Muricea californica,10
12 9 2023 Babencho 3,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11642,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,10:52,11:01,13,13,22,7,NA,3,Leptogorgia,Leptogorgia chilensis,1
12 9 2023 Babencho 3,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11642,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,10:52,11:01,13,13,22,7,NA,3,Strongylocentrotus,Strongylocentrotus purpuratus,12
12 9 2023 Babencho 4,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51848,-115.11263,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:33,12:43,10,9,22,5,NA,4,Haliotis,Haliotis corrugata,2
12 9 2023 Babencho 4,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51848,-115.11263,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:33,12:43,10,9,22,5,NA,4,Haliotis,Haliotis fulgens,4
12 9 2023 Babencho 4,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51848,-115.11263,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:33,12:43,10,9,22,5,NA,4,Panulirus,Panulirus interruptus,24
12 9 2023 Babencho 4,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51848,-115.11263,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:33,12:43,10,9,22,5,NA,4,Megastraea,Megastraea undosa,8
12 9 2023 Babencho 4,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51848,-115.11263,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:33,12:43,10,9,22,5,NA,4,Megastraea,Megastraea turbanica,14
12 9 2023 Babencho 4,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51848,-115.11263,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:33,12:43,10,9,22,5,NA,4,Crassadoma,Crassadoma gigantea,1
12 9 2023 Babencho 4,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51848,-115.11263,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:33,12:43,10,9,22,5,NA,4,Muricea,Muricea californica,5
12 9 2023 Babencho 4,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51848,-115.11263,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:33,12:43,10,9,22,5,NA,4,Leptogorgia,Leptogorgia chilensis,3
12 9 2023 Babencho 5,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51759,-115.11664,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,10:32,10:36,16,16,22,10,NA,5,Haliotis,Haliotis corrugata,1
12 9 2023 Babencho 5,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51759,-115.11664,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,10:32,10:36,16,16,22,10,NA,5,Megastraea,Megastraea undosa,16
12 9 2023 Babencho 5,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51759,-115.11664,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,10:32,10:36,16,16,22,10,NA,5,Megastraea,Megastraea turbanica,8
12 9 2023 Babencho 5,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51759,-115.11664,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,10:32,10:36,16,16,22,10,NA,5,Megathura,Megathura crenulata,1
12 9 2023 Babencho 5,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51759,-115.11664,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,10:32,10:36,16,16,22,10,NA,5,Muricea,Muricea californica,3
12 9 2023 Babencho 6,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.111312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,12:12,12:16,10,12,22,5,NA,6,Haliotis,Haliotis corrugata,1
12 9 2023 Babencho 6,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.111312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,12:12,12:16,10,12,22,5,NA,6,Haliotis,Haliotis fulgens,1
12 9 2023 Babencho 6,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.111312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,12:12,12:16,10,12,22,5,NA,6,Panulirus,Panulirus interruptus,3
12 9 2023 Babencho 6,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.111312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,12:12,12:16,10,12,22,5,NA,6,Megastraea,Megastraea undosa,16
12 9 2023 Babencho 6,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.111312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,12:12,12:16,10,12,22,5,NA,6,Megathura,Megathura crenulata,3
12 9 2023 Babencho 6,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.111312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,12:12,12:16,10,12,22,5,NA,6,Muricea,Muricea californica,2
12 9 2023 Babencho 6,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51869,-115.111312,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,12:12,12:16,10,12,22,5,NA,6,Leptogorgia,Leptogorgia chilensis,6
12 9 2023 Babencho 7,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11652,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,10:48,10:57,13,13,21,8,NA,7,Haliotis,Haliotis corrugata,7
12 9 2023 Babencho 7,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11652,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,10:48,10:57,13,13,21,8,NA,7,Haliotis,Haliotis fulgens,1
12 9 2023 Babencho 7,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11652,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,10:48,10:57,13,13,21,8,NA,7,Megastraea,Megastraea undosa,12
12 9 2023 Babencho 7,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11652,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,10:48,10:57,13,13,21,8,NA,7,Megathura,Megathura crenulata,4
12 9 2023 Babencho 7,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11652,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,10:48,10:57,13,13,21,8,NA,7,Muricea,Muricea spp,1
12 9 2023 Babencho 7,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51705,-115.11652,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,10:48,10:57,13,13,21,8,NA,7,Centrostephanus,Centrostephanus coronatus,4
12 9 2023 Babencho 8,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51848,-115.11263,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,12:29,12:36,10,9,22,5,NA,8,Haliotis,Haliotis corrugata,5
12 9 2023 Babencho 8,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51848,-115.11263,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,12:29,12:36,10,9,22,5,NA,8,Panulirus,Panulirus interruptus,2
12 9 2023 Babencho 8,12,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51848,-115.11263,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,12:29,12:36,10,9,22,5,NA,8,Megastraea,Megastraea undosa,23
13 9 2023 Babencho 9,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51851,-115.11715,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,11:14,11:19,15,15,19,7,NA,9,Haliotis,Haliotis corrugata,5
13 9 2023 Babencho 9,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51851,-115.11715,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,11:14,11:19,15,15,19,7,NA,9,Panulirus,Panulirus interruptus,1
13 9 2023 Babencho 9,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51851,-115.11715,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,11:14,11:19,15,15,19,7,NA,9,Megastraea,Megastraea undosa,4
13 9 2023 Babencho 9,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51851,-115.11715,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,11:14,11:19,15,15,19,7,NA,9,Megastraea,Megastraea turbanica,22
13 9 2023 Babencho 9,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51851,-115.11715,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,11:14,11:19,15,15,19,7,NA,9,Megathura,Megathura crenulata,1
13 9 2023 Babencho 9,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51851,-115.11715,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,11:14,11:19,15,15,19,7,NA,9,Muricea,Muricea californica,2
13 9 2023 Babencho 9,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51851,-115.11715,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,11:14,11:19,15,15,19,7,NA,9,Leptogorgia,Leptogorgia chilensis,1
13 9 2023 Babencho 10,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.5185,-115.11302,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,12:41,12:49,12,11,19,3,NA,10,Panulirus,Panulirus interruptus,1
13 9 2023 Babencho 10,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.5185,-115.11302,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,12:41,12:49,12,11,19,3,NA,10,Megastraea,Megastraea undosa,20
13 9 2023 Babencho 10,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.5185,-115.11302,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,12:41,12:49,12,11,19,3,NA,10,Megathura,Megathura crenulata,3
13 9 2023 Babencho 10,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.5185,-115.11302,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,12:41,12:49,12,11,19,3,NA,10,Muricea,Muricea californica,19
13 9 2023 Babencho 10,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.5185,-115.11302,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,12:41,12:49,12,11,19,3,NA,10,Leptogorgia,Leptogorgia chilensis,2
13 9 2023 Babencho 10,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.5185,-115.11302,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elsa Cuellar,12:41,12:49,12,11,19,3,NA,10,Centrostephanus,Centrostephanus coronatus,1
13 9 2023 Babencho 11,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51851,-115.11715,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,11:25,11:31,15,15,19,7,NA,11,Haliotis,Haliotis corrugata,7
13 9 2023 Babencho 11,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51851,-115.11715,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,11:25,11:31,15,15,19,7,NA,11,Megastraea,Megastraea undosa,40
13 9 2023 Babencho 11,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51851,-115.11715,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,11:25,11:31,15,15,19,7,NA,11,Megathura,Megathura crenulata,8
13 9 2023 Babencho 11,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51851,-115.11715,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,11:25,11:31,15,15,19,7,NA,11,Muricea,Muricea spp,3
13 9 2023 Babencho 11,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51851,-115.11715,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,11:25,11:31,15,15,19,7,NA,11,Centrostephanus,Centrostephanus coronatus,1
13 9 2023 Babencho 12,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.5185,-115.11302,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,12:50,13:00,12,11,19,5,NA,12,Haliotis,Haliotis corrugata,4
13 9 2023 Babencho 12,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.5185,-115.11302,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,12:50,13:00,12,11,19,5,NA,12,Haliotis,Haliotis fulgens,1
13 9 2023 Babencho 12,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.5185,-115.11302,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,12:50,13:00,12,11,19,5,NA,12,Panulirus,Panulirus interruptus,3
13 9 2023 Babencho 12,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.5185,-115.11302,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Sulema Garcia,12:50,13:00,12,11,19,5,NA,12,Megastraea,Megastraea undosa,11
13 9 2023 Babencho 13,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52237,-115.11658,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,11:14,11:28,13,13,22,5,NA,13,Haliotis,Haliotis corrugata,11
13 9 2023 Babencho 13,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52237,-115.11658,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,11:14,11:28,13,13,22,5,NA,13,Haliotis,Haliotis fulgens,5
13 9 2023 Babencho 13,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52237,-115.11658,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,11:14,11:28,13,13,22,5,NA,13,Panulirus,Panulirus interruptus,16
13 9 2023 Babencho 13,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52237,-115.11658,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,11:14,11:28,13,13,22,5,NA,13,Parastichopus,Parastichopus parvimensis,2
13 9 2023 Babencho 13,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52237,-115.11658,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,11:14,11:28,13,13,22,5,NA,13,Megastraea,Megastraea undosa,32
13 9 2023 Babencho 13,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52237,-115.11658,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,11:14,11:28,13,13,22,5,NA,13,Megastraea,Megastraea turbanica,6
13 9 2023 Babencho 13,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52237,-115.11658,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,11:14,11:28,13,13,22,5,NA,13,Megathura,Megathura crenulata,24
13 9 2023 Babencho 13,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52237,-115.11658,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,11:14,11:28,13,13,22,5,NA,13,Crassadoma,Crassadoma gigantea,5
13 9 2023 Babencho 13,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52237,-115.11658,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,11:14,11:28,13,13,22,5,NA,13,Muricea,Muricea californica,2
13 9 2023 Babencho 13,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52237,-115.11658,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,11:14,11:28,13,13,22,5,NA,13,Centrostephanus,Centrostephanus coronatus,12
13 9 2023 Babencho 14,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51902,-115.11286,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:59,13:04,9,10,22,4,NA,14,Haliotis,Haliotis corrugata,7
13 9 2023 Babencho 14,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51902,-115.11286,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:59,13:04,9,10,22,4,NA,14,Haliotis,Haliotis fulgens,2
13 9 2023 Babencho 14,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51902,-115.11286,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:59,13:04,9,10,22,4,NA,14,Panulirus,Panulirus interruptus,3
13 9 2023 Babencho 14,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51902,-115.11286,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:59,13:04,9,10,22,4,NA,14,Megastraea,Megastraea undosa,21
13 9 2023 Babencho 14,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51902,-115.11286,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:59,13:04,9,10,22,4,NA,14,Megastraea,Megastraea turbanica,15
13 9 2023 Babencho 14,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51902,-115.11286,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:59,13:04,9,10,22,4,NA,14,Megathura,Megathura crenulata,2
13 9 2023 Babencho 14,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51902,-115.11286,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:59,13:04,9,10,22,4,NA,14,Crassadoma,Crassadoma gigantea,2
13 9 2023 Babencho 14,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51902,-115.11286,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:59,13:04,9,10,22,4,NA,14,Muricea,Muricea californica,1
13 9 2023 Babencho 14,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51902,-115.11286,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Mitzi Leal,12:59,13:04,9,10,22,4,NA,14,Centrostephanus,Centrostephanus coronatus,2
13 9 2023 Babencho 15,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52037,-115.11608,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,11:07,11:16,12,12,22,5,NA,15,Haliotis,Haliotis corrugata,25
13 9 2023 Babencho 15,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52037,-115.11608,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,11:07,11:16,12,12,22,5,NA,15,Panulirus,Panulirus interruptus,4
13 9 2023 Babencho 15,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52037,-115.11608,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,11:07,11:16,12,12,22,5,NA,15,Megastraea,Megastraea undosa,38
13 9 2023 Babencho 15,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52037,-115.11608,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,11:07,11:16,12,12,22,5,NA,15,Megathura,Megathura crenulata,5
13 9 2023 Babencho 15,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52037,-115.11608,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,11:07,11:16,12,12,22,5,NA,15,Muricea,Muricea californica,1
13 9 2023 Babencho 15,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52037,-115.11608,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,11:07,11:16,12,12,22,5,NA,15,Leptogorgia,Leptogorgia chilensis,1
13 9 2023 Babencho 15,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.52037,-115.11608,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,11:07,11:16,12,12,22,5,NA,15,Centrostephanus,Centrostephanus coronatus,1
13 9 2023 Babencho 16,13,9,2023,Baja California Sur,Isla Natividad,Babencho,27.51902,-115.11286,Bosque de kelp,Control,Ninguna,Reserva de la Biosfera El Vizcaino,Elba Lopez,12:47,12:55,9,9,22,4,NA,16,Haliotis,Haliotis corrugata,1
